id,이름,이메일,학과_id,직급,입사일
1,권우진,권우진_285@prof.univ.ac.kr,1,부교수,2018-12-16
2,한태현,한태현_160@prof.univ.ac.kr,14,조교수,2004-08-01
3,박준혁,박준혁_100@prof.univ.ac.kr,23,조교수,2011-11-12
4,이채원,이채원_471@prof.univ.ac.kr,8,겸임교수,2003-07-15
5,송지은,송지은_850@prof.univ.ac.kr,24,부교수,2003-02-13
6,이예은,이예은_234@prof.univ.ac.kr,19,교수,2010-06-11
7,최준혁,최준혁_285@prof.univ.ac.kr,30,조교수,2007-04-18
8,오서연,오서연_215@prof.univ.ac.kr,18,교수,2007-09-04
9,송채원,송채원_251@prof.univ.ac.kr,11,겸임교수,2017-01-07
10,장민지,장민지_656@prof.univ.ac.kr,15,조교수,2002-07-05
11,윤하준,윤하준_33@prof.univ.ac.kr,21,겸임교수,2012-01-04
12,박성호,박성호_936@prof.univ.ac.kr,21,부교수,2022-05-24
13,서은호,서은호_937@prof.univ.ac.kr,30,부교수,2011-11-18
14,정은지,정은지_763@prof.univ.ac.kr,17,겸임교수,2017-11-30
15,오은지,오은지_142@prof.univ.ac.kr,32,교수,2002-02-10
16,최현우,최현우_643@prof.univ.ac.kr,11,겸임교수,2002-11-06
17,서준혁,서준혁_611@prof.univ.ac.kr,30,조교수,2024-10-25
18,김예은,김예은_739@prof.univ.ac.kr,8,조교수,2015-04-05
19,최지은,최지은_446@prof.univ.ac.kr,11,겸임교수,2000-02-23
20,장재원,장재원_781@prof.univ.ac.kr,12,교수,2013-05-21
21,안다은,안다은_204@prof.univ.ac.kr,10,조교수,2007-03-31
22,송도윤,송도윤_945@prof.univ.ac.kr,1,조교수,2021-12-01
23,김수진,김수진_952@prof.univ.ac.kr,24,조교수,2010-09-28
24,이은지,이은지_900@prof.univ.ac.kr,6,교수,2021-10-19
25,박도윤,박도윤_546@prof.univ.ac.kr,9,부교수,2021-04-27
26,송미영,송미영_272@prof.univ.ac.kr,28,부교수,2024-03-10
27,조건우,조건우_320@prof.univ.ac.kr,26,조교수,2019-08-26
28,안승민,안승민_124@prof.univ.ac.kr,16,부교수,2002-11-15
29,한민수,한민수_603@prof.univ.ac.kr,15,부교수,2000-04-27
30,박건우,박건우_647@prof.univ.ac.kr,4,부교수,2003-01-09
31,이지유,이지유_339@prof.univ.ac.kr,5,부교수,2012-06-28
32,황성호,황성호_553@prof.univ.ac.kr,9,겸임교수,2010-11-25
33,황서윤,황서윤_417@prof.univ.ac.kr,13,교수,2004-05-07
34,신서연,신서연_434@prof.univ.ac.kr,27,겸임교수,2002-06-06
35,최영희,최영희_413@prof.univ.ac.kr,22,교수,2011-02-25
36,조성호,조성호_550@prof.univ.ac.kr,29,부교수,2018-12-04
37,강태현,강태현_474@prof.univ.ac.kr,16,교수,2019-11-17
38,송수진,송수진_52@prof.univ.ac.kr,1,교수,2010-08-08
39,강하은,강하은_498@prof.univ.ac.kr,31,부교수,2017-12-27
40,이미영,이미영_389@prof.univ.ac.kr,1,겸임교수,2011-11-24
41,권지은,권지은_434@prof.univ.ac.kr,32,부교수,2008-07-08
42,임성호,임성호_992@prof.univ.ac.kr,4,교수,2014-01-25
43,이영희,이영희_599@prof.univ.ac.kr,31,부교수,2002-07-20
44,안지훈,안지훈_872@prof.univ.ac.kr,12,교수,2003-01-18
45,윤준혁,윤준혁_123@prof.univ.ac.kr,16,교수,2003-09-05
46,신예은,신예은_598@prof.univ.ac.kr,21,조교수,2009-02-28
47,한은지,한은지_272@prof.univ.ac.kr,26,부교수,2013-06-16
48,권동현,권동현_952@prof.univ.ac.kr,5,교수,2020-07-22
49,홍우진,홍우진_103@prof.univ.ac.kr,5,부교수,2022-09-10
50,장현우,장현우_956@prof.univ.ac.kr,23,교수,2010-12-16
51,오지은,오지은_162@prof.univ.ac.kr,29,조교수,2023-09-23
52,김예은,김예은_837@prof.univ.ac.kr,20,교수,2006-01-09
53,장수진,장수진_912@prof.univ.ac.kr,7,부교수,2012-03-20
54,임다은,임다은_216@prof.univ.ac.kr,22,부교수,2011-11-04
55,안유진,안유진_258@prof.univ.ac.kr,4,교수,2018-12-31
56,장영희,장영희_4@prof.univ.ac.kr,22,부교수,2011-10-01
57,강채원,강채원_453@prof.univ.ac.kr,28,교수,2005-01-06
58,박은호,박은호_708@prof.univ.ac.kr,10,교수,2016-07-24
59,류소희,류소희_152@prof.univ.ac.kr,28,부교수,2001-11-16
60,임서연,임서연_921@prof.univ.ac.kr,3,조교수,2009-06-03
61,윤예은,윤예은_106@prof.univ.ac.kr,23,겸임교수,2006-12-07
62,윤지유,윤지유_167@prof.univ.ac.kr,12,겸임교수,2001-02-10
63,강채원,강채원_947@prof.univ.ac.kr,22,겸임교수,2011-02-17
64,장미영,장미영_807@prof.univ.ac.kr,7,겸임교수,2001-09-26
65,황은지,황은지_205@prof.univ.ac.kr,30,조교수,2013-09-09
66,윤은지,윤은지_25@prof.univ.ac.kr,13,겸임교수,2014-09-22
67,장지유,장지유_72@prof.univ.ac.kr,18,조교수,2022-11-07
68,서예은,서예은_864@prof.univ.ac.kr,22,교수,2005-03-04
69,장미영,장미영_595@prof.univ.ac.kr,17,교수,2004-11-11
70,홍하은,홍하은_354@prof.univ.ac.kr,21,겸임교수,2022-12-10
71,최준혁,최준혁_922@prof.univ.ac.kr,13,조교수,2001-12-28
72,신민수,신민수_533@prof.univ.ac.kr,13,조교수,2019-05-07
73,박예은,박예은_943@prof.univ.ac.kr,22,조교수,2005-08-03
74,임재원,임재원_317@prof.univ.ac.kr,27,조교수,2018-01-18
75,임소희,임소희_131@prof.univ.ac.kr,13,겸임교수,2017-01-02
76,강다은,강다은_583@prof.univ.ac.kr,20,겸임교수,2024-07-30
77,김지은,김지은_294@prof.univ.ac.kr,14,겸임교수,2014-06-15
78,권승민,권승민_453@prof.univ.ac.kr,14,겸임교수,2007-08-12
79,박지은,박지은_528@prof.univ.ac.kr,22,교수,2010-07-15
80,임은지,임은지_826@prof.univ.ac.kr,13,부교수,2001-02-04
81,이은지,이은지_487@prof.univ.ac.kr,5,겸임교수,2018-08-04
82,류성호,류성호_736@prof.univ.ac.kr,25,겸임교수,2017-12-04
83,윤현우,윤현우_672@prof.univ.ac.kr,1,교수,2019-01-26
84,윤미영,윤미영_824@prof.univ.ac.kr,30,교수,2011-03-06
85,최승민,최승민_137@prof.univ.ac.kr,30,조교수,2019-11-08
86,홍하준,홍하준_737@prof.univ.ac.kr,28,겸임교수,2007-02-20
87,황승민,황승민_266@prof.univ.ac.kr,16,조교수,2023-05-20
88,황시우,황시우_245@prof.univ.ac.kr,18,겸임교수,2003-06-23
89,임은지,임은지_279@prof.univ.ac.kr,22,조교수,2024-03-24
90,박현우,박현우_155@prof.univ.ac.kr,15,겸임교수,2006-11-08
91,조지훈,조지훈_425@prof.univ.ac.kr,27,조교수,2024-05-04
92,권하은,권하은_64@prof.univ.ac.kr,14,겸임교수,2017-06-21
93,류건우,류건우_21@prof.univ.ac.kr,25,겸임교수,2000-04-06
94,오지은,오지은_772@prof.univ.ac.kr,25,겸임교수,2024-02-22
95,송서윤,송서윤_618@prof.univ.ac.kr,15,겸임교수,2009-11-04
96,장하은,장하은_498@prof.univ.ac.kr,2,겸임교수,2015-01-29
97,서채원,서채원_170@prof.univ.ac.kr,30,부교수,2023-12-17
98,김민지,김민지_404@prof.univ.ac.kr,2,교수,2019-03-24
99,정지유,정지유_473@prof.univ.ac.kr,12,교수,2011-09-02
100,서동현,서동현_217@prof.univ.ac.kr,30,조교수,2015-02-20
